0,1,2,3,4,5,6,7,8,9,10
Zoios,Christian Højbo Møller,"I moved to Mumbai, India alone at age 15. When I came home I built a fashion webshop in Flash - went terribly but I naturally learned a ton. Went on to work in marketing as the SEO Lead for GroupM in The Nordics, before venturing out into startup life again with a supplement platform (raised some money and had a good run, but never a great business case). Went back to management consulting for a few years before I convinced Mikkel to join me at Zoios!",Mikkel Agesen,,,,,,,
Kurios,Carlos Lau,"Co-founder & CEO @ KURIOS. Ex-Uber Latam early stage employee. Contributed to the 60x growth in the Peruvian Team. Launched and scaled UberDost in Latam (Brasil, Mexico, Colombia and Peru). Ex-Amazon Product Marketing Manager Intern. Squash addict. Father of two.",Luis Ubillas Door,"Co-founder and COO at KURIOS. I started my career in investment management at BCP (Peru's largest bank). After my MBA program, I transitioned to Tech working at Amazon as financial controller in the North America ecommerce business. I've also worked as an independent consultant in Product & Growth Strategy for +$1B dollar companies in the consumer, financial and insurance sectors.",,,,,,
"Encuadrado, Inc.",Thomas Maremaa,co-founder Encuadrado,Tomas Aguilera,,,,,,,
Shimmer,Vikram Sreedhar,"Stanford Alumni c/o 2018
Co-Founder/CTO @ shimmer
Co-Founder @ M.A.D. Together, 501(c)(3)",Chris Wang,"Co-Founder/CEO @ Shimmer
Ex: Consultant @ Bain | International Launch + Growth @ Drop",Jon Wang,https://jonxwang.com,,,,
OneSchema,Andrew Luo,Co-founder of OneSchema,Christina Gilbert,,,,,,,
Arengu,Pablo Castro Valiño,"Arengu co-founder, frontend geek and internet freedom activist at GPUL & Trackula.",Sergio Regueira,Backend engineer. Passionate about technology and science. Amateur cyclist.,Jacobo Vidal,Co-Founder of Arengu. I like to build things that build things.,,,,
Goodseed,Emmett Miller,I want to make the world a better place with innovative tools :),Wyatt Miller,"Chapman University, Goodseed",Leo Schottenstein,"I am currently a junior at the University of Southern California, majoring in Business Administration. I am originally from Columbus, Ohio. I started working on Goodseed in August 2020 with my college roommate, Emmett Milller, and his brother, Wyatt Miller.",,,,
genei,Adrien Wald,Transforming research processes at genei.,Jack Bowen,,Thomas Foster,,,,,
Snowboard Software,Rick Radewagen,analyst in a world of data; creator of well-arranged pixels; surprised language learner,Sven Rudolph,,Theo Tortorici,,,,,
ShipBlu,Ahmed ElKawass,"I have a BA in Politics and Economics from Northumbria University, UK. Prior to founding ShipBlu, I worked at Unilever, Nestle and Reckitt Benckiser between the Sales and Supply Chain departments. I then took a leap of faith and decided to move to Leo Burnett followed by JWT where I gained plenty of experience in the marketing and advertising field.",Abdelrahman Hosny,"I'm mainly interested in combinatorial optimization problems, with efficient implementations. This lies at the heart of ShipBlu operations. To that end, I investigate the use of machine learning techniques to come up with novel implementations that offers new solutions.
I'm pursuing a PhD in Computer Science at Brown University. Prior to that, I had a Master's in Computer Science and Engineering from UConn. I have been enjoying building cloud apps for ~8 years now.",Ali Nasser,"Born and raised in Cairo Egypt, I have a B.Sc. in Construction Engineering from the American University in Cairo. I then went on to get my M.Eng. from Cornell University, and soon after my MBA from Cornell as well. I ended up working on Wall Street as an Investment Banker for Citibank, where I covered the fertilizer sector globally. After Citi, I moved back to Egypt to join the family business and work on some projects of my own. A couple of years later, I came up with the idea for ShipBlu!",,,,
Whalesync,Matthew Busel,"Co-founder — Whalesync

Prev:
PM - MakeSpace
Product - NextRev
Founder - Referralboard",Curtis Fonger,"My passion is software engineering, especially making it easier for others. I sold my last startup to Google and worked in Google Maps, Area 120, and Google Podcasts. Previously I worked at Microsoft on OneDrive. I live in Redmond, WA.",,,,,,
Milky Way AI,Sagar Setu,Robotics generalist with a PhD in Aerospace Engineering. Strong believer that humans should be spending more time doing science and arts rather than tedious mundane work. Cares about equal access to water.,Eunice Wong,"Spent the last decade helping the largest retailers and brands with many parts of the business :
Predicting what customer buy next with customer data science
Digitizing loyalty programs/super apps ecosystem
Creating cross-border e-comm payments and fulfillment solutions",,,,,,
Malloc,Liza Charalambous,"Liza Charalambous is a Digital Security expert with 8+ years of experience in the ideation and implementation of (cyber) security projects. Liza holds a PhD in machine learning, as well as academic titles in signal processing and AI and digital communications. Over the years, she collaborated with various privately owned and public organizations to provide solutions that improve users’ quality of life.",Artemis Kontou,"Artemis Kontou holds a PhD in Mechanical Engineering from Imperial College London where she published two patents. She has managed and delivered research and innovation projects of Shell, Imperial College, Akzo Nobel and European Commission. With Maria Terzi and Liza Charalambous they founded Malloc, a data protection and security startup. Artemis fosters an environment of teamwork and ensures that strategy is clearly defined while overseeing performance and maintaining morale.",Maria Terzi,"Maria Terzi is the co-founder and CEO of Malloc. Maria holds a Ph.D. in Machine Learning and Recommender Systems. During her Ph.D., she won two Google hackathons and joined Google as a Software Engineering Intern. She was a Secure and Private AI scholar @ Facebook. Maria holds extensive experience in R&D in the areas of data analysis, machine learning, secure and private AI.",,,,
Sequin,Vrinda Gupta,"Vrinda Gupta is the CEO & Co-Founder of Sequin, a fintech on a mission to get women the credit we deserve. She founded Sequin after being rejected from the very credit card she helped launch (the Chase Sapphire Reserve) at Visa Inc. Vrinda holds an M.B.A from Berkeley Haas and a B.A. from UCLA. She is a proud first generation Indian immigrant and currently lives in San Francisco, California.",Mark Thomas,,,,,,,
FastFarma,Marcelo Albuja,"Co-Founder @FastFarma, ex-Territory Manager @UberEats, Master of Science @Columbia",Juan Carlos Holguin,"Co-Founder FastFarma
Founder Grupo Link Latam",Santiago Ribadeneira,"Cofounder @ Fastfarma, Founding MD @ Endeavor in Ecuador",,,,
Numary,Clément Salaün,"Founder of Numary, making complex payments workflows work. Previously @Selency.",,,,,,,,
Mergent,James Martinez,Founder of Mergent (https://mergent.co),,,,,,,,
INFIUSS HEALTH,Melissa Bime,"Melissa Bime is the co-founder of Infiuss Health. She is a RN, and has got to experience first hand the challenges patients faced across diverse health care settings in Africa. 
After completing Nursing school, Melissa started INFIUSS, a startup that connects life science companies to patients for clinical research and clinical trials in Africa to help ensure that Africa’s Diverse population is included in global research studies and clinical trials.",Mbah Charles,"Co-founder CTO Infiuss Health.
Past Microsoft and Huawei",,,,,,
Comet Health,Katy Honda,"Co-Founder & COO at Comet Health 
Building a digital women's health rehabilitation platform that gives women access to pelvic floor physical therapy 
Current MBA Candidate at Stanford GSB | BS in Science, Technology, and Society at Stanford 
Passionate about women's health, health equity, diversity + inclusion",Nina Lu,Former product manager at PIllPack (acq. by Amazon) and VC at Kleiner Perkins,,,,,,
Scispot.io Inc.,Nash Seshan,"I am a silicon valley veteran having worked in the past at some of the prominent biggies such as Cisco, eBay, Netflix, Dropbox and Lyft. At these companies, I've led infrastructure, automation and machine learning teams pushing boundaries. My passion for automation and using machine learning to make our future smarter made me co-found Scispot.io. At Scispot.io, we're bringing smart tech to the life science industry to allow companies to bring life saving products and cures to market faster.",Guru Singh,"I am a biotech researcher by training and have served as a commercial leader at life science SaaS startups in three continents. I am passionate about empowering bio-entrepreneurs to create and scale life science companies and solve the world's biggest problems. From preventing pandemics and eliminating fatal diseases to feeding the world and developing sustainable energy sources, Scispot.io can make the world a better place.",Satya Singh,"Co-founder and Chief Product & Operating officer of Scispot.io. I am an engineer turned Product Manger. My experience in tech taught me the importance of product mindset - starting from the customer and working backwards. Before starting Scispot.io, I worked for Hotels.com and Expedia building platforms. My experience in product UX, growth marketing, and platform products brought me to the life science industry that will change human lives for the better.",,,,
CartX,Lucas Castellani,Founder @ CartX,,,,,,,,
Hypercontext,Graham McCarthy,"Co-founder, CTO at Hypercontext
🧑‍🚀 Manage your teams via meetings
👨‍💻 Product & Engineering are my jams. 
🎮 Moonlighting as an indie game developer & crypto enthusiast",Brennan McEachran,"Co-founder, CEO at Hypercontext
🚀 Manage your teams via meetings
🐦 @i_am_brennan 
👨‍💻 Passionate: startup/tech/product/frontend",,,,,,
MazumaGo,Matthew Smith,"Love building cool software.
- ReactJS
- Design/UX
- Banking Infrastructure
- Banking tech
- Payments
- MSB Compliance (Canada)
- Pitching
- Team motivation
- Fun
- Fun
- Fun",Nick Addison,,,,,,,
Monto,Mack McConnell,Cofounder of Monto.io!,Cihan Tas,"Berlin, Germany",,,,,,
Argonaut,Surya Oruganti,DevOps and cloud infra is boring. I can take care of that for you.,,,,,,,,
mello 🦦,CG Chen,"Co-founder, and CEO at mello, ex-ecobee, ex-Tulip",Geordie Graham,"Geordie Graham is the co-Founder and Chief Product Officer of Mello. Geordie sets the strategic direction of Mello’s products and drives a customer-centric and user research-driven culture. Geordie has experience in product management and UX in Social Tech, EdTech, Tech Consulting along, with several years of experience in Employee Benefits Administration. Hailing from Toronto, Geordie holds a Master of Design from OCAD University and holds a Bachelor of Arts from the University of Waterloo.",Alex Zvaniga,"Founder and CTO with a passion for connecting people with solutions. Leader with a proven track record in software development, executive recruitment, sales, and people management. Interested in creating novel solutions to everyday problems.",Ruohao Derek Zhang,,,
Matidor.com,Sean Huang,"A Vancouver-based serial entrepreneur who has founded three startups and has more than 10 years of experience in sales and business development. From door-to-door sales with Telus to handling enterprise accounts, Sean was one of the fastest salesmen in his marketing firm to get promoted to senior sales manager for B2B campaigns. Sean has gone on to build startups in the VRAR space as well as having cross-border experience from his time spent in Shanghai.",Vincent Lam,"Vincent is a visionary and technologist at heart, with 20 years of experience of delivering world-class software. He specializes in product strategy and development, as well as technology transformation for SMBs and enterprises. Vincent previously led large-scale projects at Google and Dassault Systems, and has created a number of award-winning start-ups since 2011. He currently held an MBA from the University of Ottawa, and a BASc in Computer Engineering from the University of BC.",,,,,,
inai,Karthik Narayanan,"Co-founder/CTO inai
Ex-co-founder of fitness tech company Auro. 
Ex-Samsung | Qualcomm | Juniper Networks.",Anta Pattabiraman,"Ex-banker turned serial entrepreneur
Sold my first startup Auro ( Connected fitness ) to start my new venture Inai
At Inai , we are building segment for payments- single integration for all your payment needs ( Gateways, wallets, BNPLs, open banking, crypto, fraud, tax , loyalty and more)
Love tech and sport
Live in the Uk with wife and son",,,,,,
Cero,Felipe Rodríguez,"Entrepreneur and creative innovator. Currently co founder & CEO at CERO.
Previously, I founded Excedent, a solution for eligibility and payment through API's for medical services connecting over 500 HC providers with the top 3 health insurances in Chile. In 2013 I founded Deenty where we worked to improve access to dentalcare in Chile, being recognized as one of Chile's 100 young leaders of the year. I also started Rompientes, NGO focused to preserve coastal environments with focus on surfbreaks",Jorge Pérez,,Mauricio Quezada,,,,,
MayaEats,Vijayaraj Gopinath,"Co-Founder of MayaEats. 

Experienced X-Google SWE (7+ years), Developed the research Google Maps safety feature which adds safety score (based on crime and other signals) as another weight in the world's road network. X-Nvidia - Project Shield.

Co-Founder of VirtualQueue - GeoFenced dynamic appointment system for job fairs to eliminate long queues.

Co-Founder of HungryGift - Tech enabled merchandising service for Indian businesses.

Now Building the World's Largest Restaurant Chain.",Viggnesh Kandasamy,"Co-Founder of MayaEats.

Engineering Manager with 10+ years of experience in scaling small tech teams to large teams.

Co-Founder of TrackYoga - Successful Yoga app with more than half million downloads. 

Now Building The World's Largest Digital Restaurant Chain.",,,,,,
DigiBuild Software Inc.,Ivan Franco,VP of Eng @DigiBuild,Robert Salvador,"- Co-founder & CEO of DigiBuild: Revolutionizing the Global Construction Industry Using Blockchain Technology
- Founder & Fmr. President of a Nationwide Commercial Construction Company - SLP Group
- Led $500M in Construction Projects
- Experienced Commercial Builder l Project Manager l Construction Technologist
- Named to Crain's Chicago “Top 25 Rising Stars in Tech”
- Cryptocurrency Investor & Enthusiast
- Participant & Finalist on ""Meet the Drapers"" Season 4 with Tim Draper
- Angel Investor",,,,,,
Cloudanix,Sujay Maheshwari,"Product + Technology; Making Cloud secure, one AWS/ Azure/ GCP account at a time!",Purusottam Mupunu,Helping companies Secure Cloud Infrastructure,,,,,,
Enso,Sylwia Brodacka,"Leader, software developer, physicist. Used to design materials to build 🚀 Now creates tools to open up new possibilities for people.
Addicted to sports, 🐕 lover.",Wojciech Danilo,"Entrepreneur, functional programming specialist, Haskeller. Passionate about visual programming, aesthetics, and ergonomics. On a mission to empower people with tools to innovate and advance. Loves dogs.",,,,,,
Monet,Jonathan Araujo Duarte,"Jonathan Araujo - CTO and Co-founder, 10+ years experience in the design and implementation of software and infrastructure solutions as an engineer for US and European Fintechs and companies like FedEx, ING and Rabobank. Jonathan leads the tech team and strategy of Monet.",Leonardo Devincenzi,Co-CEO & Co-Founder of Monet. A serial-entrepreneur focused in Latin American startups. Leo brings over twenty years of business development and strategic advisory experience. He has spent the last 10 years dedicated to the Latam market as an investor and founder. He leads the structuring and development of the Monet Strategy in Latam.,Freddy Fernandez,"CEO and Co-founder of Monet, on-demand salary solutions in Latam.
Originally from Colombia, based in Miami. With 10 years of experience in the financial industry covering Latin American transactional and investment products at JP Morgan. Fred is responsible for the management of the product Lifecycle, requirements, and leading the operation of Monet.",Jaime Lossada,"Jaime Lossada - Tech Lead and Co-founder, 10+ years experience building complex solutions and implementing buisness logic for a wide range of companies, including startups. Jaime leads the backend team and strategy of Monet.",,
Ivella,Vishal Dubey,Building @ Ivella,Kahlil Lalji,"Startups, triathlon, & influencer marketing.

Currently building the future of banking for couples at Ivella.",Eric Wang,Building @ Ivella,,,,
Glitzi,Ana Ramos,"CEO & Co-founder at Glitzi. 
Early stage VC investor turned entrepreneur to help Latin American consumers access quality beauty and wellness services at-home.",Luis Enrique Vazquez Escobar,"Luis is a programmer who for a long time was focused on the development of mobile applications

Before joining Glitzi, Luis spent several years working as developers for small companies and large corporations in various cities in Mexico. After acquiring a great experience in the development and entrepreneurship environment, he decided to undertake several projects until he teamed up with Ana Ramos to create Glitzi

Luis is very passionate about finding solutions to complicated problems",,,,,,
NxFoods,Maximilian Marquart,"I am a food aficionado and my mission is to revolutionize the food system. Before founding NxFoods, I co-founded a company called 27pilots. At 27pilots I supported leading corporations to boost their innovation by collaborating with startups. During my time at 27pilots, I worked with >1000 B2B startups on selling their product to corporates and learned what it means to grow a 27pilots to a 7-digit revenue and 30+ employees. I am holding a Ph.D. in Material Science and Mechanical Engineering.",Sara Marquart,"My two eternal loves are that for food and science. Before founding NxFoods, I was the Lead Scientist for Atomo Coffee, a Seattle-based startup making molecular coffee without the coffee bean. From the very beginning on, I helped Atomo Coffee to develop their tech platform, IP, scale-up, and the buildout of their pilot facility. Beforehand, I was the Chief Curator at the world’s largest science museum and curated a globally touring exhibition about coffee.
I am holding a Ph.D. in Food Chemistry.",,,,,,
Covie,Trent Harvey,"Motivated and forward thinking, I love to take on challenging problems and find innovative solutions to overcome them. I aim to inspire and lead others and hope that through my work I can move people, businesses and industries forward.

My background includes a mixture of IT support, software engineering, and product development. I began with open-source software initiatives at a very young age and developed a passion for creating. I would later turn that passion of creating into a career.",Ian Littman,"I like building reliable, scalable, maintainable systems, usually by writing code. Historically that's been for a variety of freelance clients. These days, that's for Covie as its CTO. When I'm not working on building Covie, I'm probably researching telecom or the airline industry, or maybe biking to a coffee shop to do those things.",William Dearie,,,,,
Muse,"Benjamin Ha, CEO","I started coding because my parents didn't let me play video games and I had to learn how to build them myself. 

I grew up being inspired by a lot of web based games that were popular on websites such as addictinggames.com and aromorgames.com.

This is an era that has now passed. 

Now, I am working on Muse so we can reimagine websites as games to make the internet fun once again.",Alex Shortt,"I'm fascinated with crafting realities that combine multiple meanings into one to tell powerful stories. 

🇪🇸",,,,,,
Perfekto,Jan Heinvirta,"Co-Founder & CEO at Perfekto. 
On a mission to create a more sustainable food system. More than 1/3 of food is wasted across LATAM, among others due to strict industry standards and supply chain inefficiencies.

Previously early employee and Head of LATAM at a Swiss FinTech. Helped it grow from Seed to Pre-Series B and expand from Switzerland to Mexico.",Anahí Sosa,"Co-Founder & COO of Perfekto, reducing food waste through a subscription box of food items that would otherwise be wasted due to supply chain inefficiencies or strict cosmetic standards.

Previously worked at Uber for almost 5 years where I had the opportunity of leading the Cornershop integration in LatAm. Worked also at Unilever in areas like Logistics Finance.",,,,,,
Govly,Nick Weiland,"Hey I'm Nick 👋
I run engineering and product at Govly.
When I'm not doing that I co-run operations for my spawn (Elia) and my dog (Ender) with my partner Maria.",Jon Wright,"Born and raised on Oahu. Currently reside in Colorado. MBA and BA in History. Worked from the bottom to the top in the same industry since college. From customer svc to VP Sales. Cofounded Blazar Technology Solutions that had a unique twist to the Federal IT market. Cofounded Govly which developed a software tool that changes how companies can manage and respond to the Federal RFQ process, while collaborating in a social network platform. Passions include fly fishing, tennis and family.",Michael Weiland,,,,,
Pideaky,Oscar Rydberg,"CTO at Pideaky
Coding since age 7. Demos, Games 2d & 3d, Raytracers, ERP&ERMs, Apps, Financial Transactions systems.",Carlos Tejeda (CEO Pideaky),CEO in Pideaky,Rafael Tejeda Elizondo,"Rafael Tejeda Elizondo: He is a Founder ""Pedeaky"" (YCS21) An APP & POS Device that digitalize and do the cleark work, receiving Credit Cards & debit cards swapping the balance in to Cell Top ups and credit, to pay Utility Bills, in cash, without a bank account for Mom and Pop´s in LATAM 
Rafael Graduate from Instituto Tecnologico y de Estudios Superiores de Monterrey, Bs Law (1992) and MS in Technology Commercialization, University of Texas in Austin Red-McCombs Business School & CIMAV (2010)",,,,
Breadcrumbs.io,Gary Amaral,"Co-Founder & CPO at BreadcrumbsIO bringing years of experience in Demand Marketing from Blackberry, Canadian Tire, Hootsuite and Chargify.",Armando Biondi,"Co-founder & CEO @BreadcrumbsIO (previously Co-founder & COO @AdEspresso, sold to @Hootsuite). Investor in 150+ startups. Board Member @MailUpGroup and former Radio Host.",Massimo Chieruzzi,"I sit between Marketing and Product. Passionate about SEO & Inbound marketing. Spaghetti coder.
CMO and CoFounder of Breadcrumbs
Prev. CEO & Cofounder of AdEspresso, sold to Hootsuite in 2016.",,,,
Monto,Karina Derbez,Ex-Microsoft Software Engineer,Andres Quintanilla,Fintech Entrepreneur | ex-Goldman Sachs,,,,,,
Bree,Adam Kang,Founder at Bree,Alexander Li,"Born in China, raised in Canada and currently based out of Vancouver. Studied CS + Business in college and did 2 years of investment banking at JP Morgan in San Francisco prior to working on start-ups.",,,,,,
Repool,Kevin Fu,"Co-founder, CEO @ Repool

Formerly:
- Head of Revenue @ Vitally
- Manager, Business Development and Revenue Ops @ Troops
- Enterprise Account Executive @ Mapbox (IPO: 2021)
- Business Development @ Copper",Justin Carrao,,,,,,,
Sprout,Ruben Guerrero,"I started my career at Goldman Sachs but discovered by passion for building product at E*Trade Financial, where I built products for retail investors. My first experience in Latin America was when I moved to Brazil to lead the Latam expansion for Orc (Itiviti), a fintech providing trading technology to market markers and high frequency traders. I stayed in Latam to lead the regional expansion for Centrify. I returned to Brazil because this is where I thrive.",Tyler Richie,"Dropped out of computer science MS to move to Brazil and be the first data scientist at Nubank. Went from 30 employees to 1500 and 250 customers to 1.5 million. Left for a couple years to work as a tech lead for a blockchain startup in Singapore. Left after a couple of years to pursue my obsession with markets, which ultimately led me back to Brazil, meeting my cofounder Ruben, and reuniting with my former Nubank colleagues to provide access to the US markets to all Brazilians.",,,,,,
SenpAI.GG,Berk Ozer,"I am a co-founder at SenpAI.GG and a former management consultant. I hold both an MSc and a BSc degree in electrical engineering. 

Prior to SenpAI.GG, I have a management consulting experience at Deloitte. I have involved in many projects focusing on digital business strategy and transformation as well as customer experience design.",Olcay Yilmazcoban,"I'm co-founder & CEO at SenpAI.GG. I have significant experience in technological entrepreneurship and deep-tech venture capital investments. Before SenpAI.GG, I co-founded a US-based start-up focusing on laser-based space communication systems and worked in a Venture Capital fund investing in deep-tech start-ups. I hold both an MSc and a BSc degree in electrical engineering. I completed MSc in the joint program at the Massachusetts Institute of Technology (MIT) and Skoltech.",,,,,,
Onebrief,Grant Demaree,"Before I moved to Austin to co-found Onebrief (https://onebrief.com), I spent 5 years as an Army officer. I was part of the Army's counter-Ebola efforts in Liberia and counter-ISIS campaign in Iraq. I studied Nuclear Engineering and International Relations at West Point.",Rafa Pereira,"As a kid, my dream was to become an inventor. I realized that dream through software engineering and entrepreneurship. I started working early, while I was still a teenager. The first app I built for money was a CGI/Perl website, in 1999. After that, I never stopped. Somehow, I still managed to finish my BS and MBA degrees along the way. Before founding Onebrief, I was Director of Product Engineering at data.world/TX and VP of Engineering at IAC/NY.",,,,,,
Iona Mind,Jonathan Baker,"Cofounder/COO @ Simudyne (Techstars, Barclays, SwayVC)
Head of Mathematics GWA
Trinity College, Cambridge",Philip Howson,"I most recently worked at GSA Capital, an quantitative hedge fund as one of the first members of the automated FX trading team which spun out to form XTX Markets, where I was a founding partner and head of trading technology. XTX Markets is now one of the world's largest automated (algorithmic) trading firms. I retired from XTX Markets in April 2016.",,,,,,
Jovian,Aakash N S,"I write code and teach. I'm building Jovian. Previously, I've worked at Twitter as a software engineer. I studied Computer Science at IIT Bombay (Indian Institute of Technology).",Siddhant Ujjain,"Building Product and Technology at Jovian. Previously, I've worked as Software Engineer at Twitter and studied Computer Science at IIT Delhi.",,,,,,
Rinse,Casey Harlin,,,,,,,,,
SalaryBox,Nikhil Goel,Peeyush Goyal,,,,,,,,
Secoda,Andrew McEwen,https://secoda.co,Etai Mizrahi,Founder of Secoda,,,,,,
Locale,Christopher Clark,"Passionate about rethinking how consumers support their local community. I enjoy cooking, traveling and skiing.",Jonathan Friedland,"I grew up in the Bay Area surrounded by amazing food options but no way to get them all delivered at once. I started working on Locale in 2020 with my best friends, Chris and Kaveh, to do just that. I focus on our team's marketing efforts and growing our customer base. I'm passionate about expanding equitable access to local food and love to ski and surf.",Kaveh Nemati,"I am a founding partner of Locale. I am very passionate about supporting my local community which is a large part of why Locale was created. I also love to try new foods, travel, work out, and play sports. If you managed to find me on a weeknight, you would probably find me reading books or burying my face in web articles.",,,,
Pirouette Medical,Conor Cullinane,"Conor obtained a PhD in Medical Engineering & Medical Physics at MIT and Harvard Medical School in the Health Sciences and Technology Program, and a BS in aeronautical engineering from Clarkson University. He is interested in leading engineering teams to successful technology implementations, not by ordering action to be taken, but rather taking action and motivating others to do the same. He has expertise in human factors engineering, medical engineering, medical physics, and startups.",Matthew Kane,"Matthew received a B.S. in aeronautical and mechanical engineering from Clarkson University. He received a MSc in Aerospace Engineering from the University of Notre Dame. He is the COO of Pirouette Medical where he is primarily responsible for FDA Interactions, regulatory requirements, project management, quality management and design analysis. He has previous experience with fluid dynamics, turbomachinery, design, and testing. He loves learning and finding unique engineering solutions.",Elijah Kapas,Eli received a dual BS in Mechanical and Civil engineering from Clarkson University. Experience in design as well as implementation allows for key insight to user interfaces and workability. Eli is the CTO for Pirouette Medical and is responsible for device design and intellectual property. He has worked across multiple industries in roles ranging from quality to supervision and knows how to leverage the key strengths of team members to be successful.,,,,
Micro Meat,Anne-Sophie Mertgen,I am a biomedical engineer and tissue engineer passionate about saving our planet and animal welfare. That is why I decided to re-focus my postdoctoral research towards cultured meat application last year and why I started Micro Meat.,,,,,,,,
Kodex,Matt Donahue,"Formerly Counterterrorism Intelligence for the FBI. While in the FBI, Matt often saw multi-billion dollar companies struggle to comply with legal orders. He left the FBI in order to fix the way in which the public and private sectors engage/collaborate with one another by creating Kodex.",Danny Mendoza,,,,,,,
HyperLinq Inc.,Amar Gautam,Human. Husband. Father of two boys. Computer Scientist. Entrepreneur. Dog lover. Chess player. Photographer.,Kunal Kumar,"After completing my Engineering in 2012, I started my career with McAfee as a Software Developer. In 2014, I quit my job and jumped into the world of startups and entrepreneurship. I had two successful startups before HyperLinq. I am the CTO at HyperLinq and my ultimate goal is to meet user expectations and business requirements.",Karamvir Singh,"As an inventive technical expert, I leverage my collaborative approach, credibility, and relevance to launch effective strategies to communicate the features and benefits of new products to businesses. Equipped with deep trading products knowledge; i.e. fixed incomes product and digital assets (crypto), experiences in trading operations and middle-office oversight, and focus on financial management while exercising leadership skills.",,,,
Maroo,Alexey Nikityuk,"Alexey is a Founder at Maroo, Buy Now Pay Later solution for $95B US wedding market. Before he spent 10yrs in US, China, France, UK and Russia taking various finance roles in P&G and GE. Most recently Alexey headed FP&A team in Revolut, where he set up financial planning function and was part of a core team during $500m Series D round.",Anja Winikka,"Anja is a Co-Founder and the CMO at Maroo, a Buy Now Pay Later solution for $95B US wedding market. Before, she spent 13 years in New York at The Knot Worldwide where she led the digital marketing and content teams of TheKnot.com and designed a series of education workshops and for wedding small business owners across the US. Anja has appeared and shared her insights and wedding industry expertise with The New York Times, The Today Show, Good Morning America, The Washington Post, CNN, and more.",Andrei Riaskov,,,,,
Fitia,Piero Linares,Co-Founder & CEO at Fitia,Ulises Olave,Co-Founder & CTO at Fitia,,,,,,
trii,Carlos Guayara,"Entrepreneur for the past five years, co-founder of 3 startups focused on the financial markets inclusion and startup fundraising — Economist and Business Administrator, with emphasis on capital markets and goal-approach orientation.

Chief Operating Officer for companies in the financial markets sector, with eight years of experience, trading in the stock and currency markets, leading trading teams, with knowledge in investment banking and financial analysis.",Esteban Penaloza,Fintech entrepeneur,Luis Eduardo Patt,,,,,
BriteHR,Landon Fielding,"Proud husband and father (of 4 boys), avid ski junkie, and anything outdoors. All I know for work is employee benefits.",Ben Hale,"Born and raised in Salt Lake City, UT. I graduated with a bachelors degree in information system from the University of Utah. I spent 2 years in Rio de Janeiro, Brazil serving a full time mission for the Church of Jesus Christ of Latter Day Saints. 

After school I worked for General Motors, had my first son, worked at Weave (W14) for about 5 years while we got Brite up and running as as side hustle. Once we got into YC we went full time on Brite and haven't looked back.",Jake Parkinson,I am passionate about frontend development,Colton Shields,,,
Tavus,Rishabh Dhar,Making personalized video messages scalable using AI,Quinn Favret,Making personalized video messages scalable using AI,Hassaan Raza,Making personalized video messages scalable using Deepfake tech!,,,,
Forage,Victor E. Fimbres,product & engineering,Justin Intal,CEO @ Forage,,,,,,
Financial Choice,Stefan Heule,"Stefan is co-founder of Financial Choice that offers checking and investment accounts merged into one. All the convenience of a checking account, but with the returns of securities. Before that, Stefan worked at Google. He earned a MSc from ETH Zurich and PhD from Stanford University.",Konstantin Weitz,"Before YC, I was working on Google's networking infrastructure (leading efforts around the P4 programming language, and open sourcing of our SDN stack). 

I received my PhD from the University of Washington, advancing programming language verification techniques (if you don't know yet what a YCombinator is, I can explain it :-))",,,,,,
Lariat Data,Vikas Shanbhogue,"Co-founder & CEO, Lariat Data

Vikas has 10 years of experience in big data, machine learning and backend engineering. Prior to founding Lariat Data he was Head of Platform at PlaceIQ and subsequently founded a boutique ML consultancy.",Aaditya Talwai,"Co-founder & CTO, Lariat Data",,,,,,
Tablevibe.co,Jeroen Rutten,"With 6.5 years of product leadership experience at Google in Dublin, Singapore and Amsterdam, and with a passion for digital product development and entrepreneurship I started Tablevibe.co in 2019. 

Tablevibe is the one-stop platform to help restaurants grow. We do this through smarter booking features, capturing guest experiences, and driving loyalty and online reputation.",Mathieu Sneep,"Co-founder and head of growth @ tablevibe.co. 

I love and live internet businesses. I have ≈10 years of sales and people management experience at both start-ups and multinationals (Google, AdRoll, Fyber) in Europe and Asia.

Trying to live by this motto: ”Twenty years from now, you will be more disappointed by the things you didn’t do than by the ones you did do. Explore. Dream. Discover.""",Guido Caldara,,,,,
DailyBot,Sergio Florez,"CTO at DailyBot — leading and building unique conversational experiences for asynchronous work. 

Sergio is a computer science engineer, MSc in data science and passionate entrepreneur, with talent and more than 8y of experience building digital businesses. He's in the search of the ideation of disruptive business models as agents of change and success.",Mauricio Morales,"CEO at DailyBot — making asynchronous work a delightful experience for everyone.

Mauricio's background is in computer science, with MsC and MBA. He's been a developer for more than 15y and then got into product management. He's passionate about startups and was already part of tech companies that have scaled rapidly and were acquired. He's lived in 3 countries and has built over a dozen of digital products.",,,,,,
